date,type,era,title_kr,title_en,link
2022-05-21,woobin,solo,루미너스 1st Single Album 'Wish You Were Here' 컨셉 포토 공개 (우빈),LUMINOUS 1st Single Album 'Wish You Were Here' Concept Photo Release (WOOBIN),https://x.com/LMN_STAFF/status/1527666204520882179?s=20
2022-05-21,luminous,luminous,1st Single Album 'Wish You Were Here' 컨셉 포토 공개 (단체),1st Single Album 'Wish You Were Here' Concept Photo Release (LUMINOUS),https://x.com/LMN_STAFF/status/1527666456334409729?s=20
2022-08-05,woobin,solo,"루미너스 1st Full Album
[LUMINOUS in WONDERLAND] 컨셉 포토 공개 Engine ver. (우빈)","LUMINOUS 1st Full Album
[LUMINOUS in WONDERLAND] CONCEPT PHOTO Engine ver. Release (WOOBIN)",https://x.com/LMN_STAFF/status/1555207682293784577?s=20
2022-01-13,woobin,solo,"루미너스 2nd Mini ALbum
[빛과 어둠 사이(Self n Ego)] 컨셉 포토 공개 (우빈)","LUMINOUS 2nd Mini Album
[Between Light and Darkness (Self n Ego)] Concept Photo Release (Woobin)",https://x.com/LMN_STAFF/status/1481279811544702979?s=20
2022-08-05,luminous,luminous,"1st Full Album
[LUMINOUS in WONDERLAND] 컨셉 포토 공개 Engine ver. (단체)","LUMINOUS 1st Full Album
[LUMINOUS in WONDERLAND] Concept Photo ENGINE ver. (LUMINOUS)",https://x.com/LMN_STAFF/status/1555206931811295232?s=20
2022-08-12,luminous,luminous,LUMINOUS in WONDERLAND' 하이라이트 메들리 공개,LUMINOUS in WONDERLAND' Highlight Medley Release,https://youtu.be/MKMx0s3sFAI
2022-01-23,luminous,luminous,섬광증(blind)' MINI ALBUM [빛과 어둠 사이 (Self n Ego)] 팬 쇼케이스 영상 공개,Scintillation' Mini Album [Between Light and Darkness (Self n Ego)] Fan Showcase Video,https://youtu.be/wcurzWmCM_w?si=89Amx55wmtHWibXu
2020-03-02,luminous,luminous,8Letters (Why Don't We) 커버 영상 공개,8Letters (Why Don't We) Cover Release,https://www.youtube.com/watch?v=nRC4Yi6usBo
2020-03-04,luminous,luminous,Drake - Toosie Slide 댄스 커버 영상 공개,Drake - Toosie Slide Dance Release,https://www.youtube.com/watch?v=2lfhrkmea_A
2020-06-06,luminous,luminous,Always Remember Us This Way (A Star is born ost - Lady Gaga) With CGV 영상 공개,Always Remember Us This Way (A Star is born ost - Lady Gaga) With CGV Release,https://www.youtube.com/watch?v=uj-KDQUhYow
2021-07-09,luminous,luminous,Butter - BTS 커버 영상 공개,Butter - BTS Cover Release,https://www.youtube.com/watch?v=Ptt_-aHs8fk
2021-08-25,luminous,luminous,Kill this love - Black Pink 커버 영상 공개,Kill this love - Black Pink Cover Release,https://www.youtube.com/watch?v=jGCIEKo56FI
2021-07-30,luminous,luminous,프로필 스케치 공개,Profile Sketch Release,https://www.youtube.com/watch?v=Iuh407A1MaY
2021-08-13,luminous,luminous,"Baby Keem,Travis Scott - Durag Activity 댄스 커버 영상 공개","Baby Keem,Travis Scott - Durag Activity Dance Cover Release",https://www.youtube.com/watch?v=4zsXgxdhPDc
2025-10-19,woobin,solo,싫더라' 솔로 데뷔 쇼케이스 티켓 예매 오픈,싫더라' Solo Debut Showcase Ticket Sales Open,https://www.tiktok.com/@binujeong00/photo/7562211309979176210
2025-11-11,woobin,solo,우빈 공식 YouTube 채널 개설,WOOBIN Official YouTube Channel Launch,https://www.youtube.com/@woobin0401
2025-10-28,woobin,solo,우빈 솔로 데뷔 쇼케이스 온라인 생중계 티켓 예매 오픈,WOOBIN Solo Debut Showcase Livestream Ticket Sales Open,https://www.tiktok.com/@binujeong00/photo/7566207789664701704
2025-11-06,woobin,solo,싫더라' 발매 기념 MEET&CALL 이벤트 공지,Meet & Call Event for '싫더라' KIT Version Announcement,https://www.tiktok.com/@binujeong00/photo/7569544597316160776
2021-08-19,luminous,luminous,꿈루(꿈을 꾸는 루미너스)' MV 공개,Dreaming Luminous' MV Release,https://www.youtube.com/watch?v=sbUiXbHtHKI
2021-09-07,luminous,luminous,Symbol Story Film 공개,Symbol Story Film Release,https://www.youtube.com/watch?v=J56buxCT_Nc
2021-09-08,luminous,luminous,RUN' MV Teaser 공개,RUN' MV Teaser Release,https://www.youtube.com/watch?v=H0yszRIWZhc
2021-09-09,luminous,luminous,RUN' MV 공개,RUN' MV Release,https://www.youtube.com/watch?v=Y7kTjHt7SmI
2021-12-02,luminous,luminous,RUN' 안무 영상 (사복 버전) 공개 ,RUN' Choreography Video (Casual Version) Release ,https://www.youtube.com/watch?v=c5mKWg6niyM
2021-09-14,luminous,luminous,RUN' MV Performance 버전 공개,RUN' MV Performance Version Release,https://www.youtube.com/watch?v=r4177e1h4cw
2021-09-21,luminous,luminous,RUN' MV 안무 영상 공개,RUN' MV Choreography Version Release,https://youtu.be/y0YehA-crLs?si=J4-ZbDieEf3JFeGv
2021-11-02,luminous,luminous,RUN' MV 안무 영상 (Halloween 버전) 공개,RUN Choreography Video (Halloween ver.) Release,https://www.youtube.com/watch?v=xJbTi6mH1bg
2021-10-18,luminous,luminous,Home Alone' MV 공개,Home Alone' MV Release,https://www.youtube.com/watch?v=nz_aC7VaiwU
2021-12-24,luminous,luminous,Have Yourself A Merry Little Christmas (re-arranged - WavBox) ver.1' 커버 영상 공개,Have Yourself A Merry Little Christmas (re-arranged - WavBox) ver.1' Cover Video Release,https://www.youtube.com/watch?v=2_49h5PHtyM
2021-12-25,luminous,luminous,Have Yourself A Merry Little Christmas (re-arranged - WavBox) ver.2' 커버 영상 공개,Have Yourself A Merry Little Christmas (re-arranged - WavBox) ver.2' Cover Video Release,https://www.youtube.com/watch?v=wVnkSG7A5ys
2022-01-18,luminous,luminous,All Eyes Down (비상)' MV Teaser 공개,All Eyes Down (Advance)' MV Teaser Release,https://www.youtube.com/watch?v=yFqjSJ1qoGs
2022-01-20,luminous,luminous,All Eyes Down (비상)' MV 공개,All Eyes Down (Advance)' MV Release,https://www.youtube.com/watch?v=wkeC1r-Db8g
2022-01-24,luminous,luminous,All eyes down(비상)' 안무 영상 공개 (사복 버전),All Eyes Down (Advance)' Choreography Video (Casual Version) Release ,https://www.youtube.com/watch?v=w41YzzXO4E4
2022-02-04,luminous,luminous,All eyes down(비상)' MV Performance ver. 공개,All eyes down(비상)' MV Performance ver. Release,https://www.youtube.com/watch?v=uG5CbXYB6Lk
2022-02-25,luminous,luminous,All eyes down(비상)' 안무 영상 무대의상 ver. 공개 ,All eyes down(비상)' Dance Practice Stage Outfit ver. Release,https://www.youtube.com/watch?v=fHPdzg52xCg
2022-03-04,luminous,luminous,All eyes down(비상)' Director's cut ver. MV 공개 ,All eyes down(비상)' Director's cut Ver. MV,https://www.youtube.com/watch?v=Hc84R1nqO0I
2022-12-02,luminous,luminous,LUMINOUS WINTER PARTY 공지,LUMINOUS WINTER PARTY Announcement,https://x.com/LMN_STAFF/status/1598543483123699713?s=20
2022-12-08,luminous,luminous,LUMINOUS WINTER PARTY 예매 오픈,LUMINOUS WINTER PARTY Ticket Open,"https://x.com/LMN_STAFF/status/1600422363706843138?s=20
"
2022-08-17,luminous,luminous,1st Full Album [LUMINOUS in WONDERLAND] 발매,1st Full Album [LUMINOUS in WONDERLAND] Release,
2022-05-21,luminous,luminous,1st Single Album [Wish You Were Here] 발매,1st Single Album [Wish You Were Here] Release,
2022-01-20,luminous,luminous,2nd Mini Album [빛과 어둠 사이 (Self n Ego)] 발매,2nd Mini Album [Between Light and Darkness (Self n Ego)] Release,
2022-09-09,luminous,luminous,1st Mini Album [YOUTH] 발매,1st Mini Album [YOUTH] Release,
2021-08-19,luminous,luminous,Pre-Debut EP [꿈루(꿈을 꾸는 루미너스)] 발매,Pre-Debut EP [Dreaming Luminous] Release,
2022-05-06,luminous,luminous,"STAY - The Kid LAROI, Justin Bieber 커버 영상 공개","STAY - The Kid LAROI, Justin Biebe Cover Release",https://www.youtube.com/watch?v=gAVCvybQtfI
2022-05-21,luminous,luminous,Wish You Were Here' MV Release 공개,Wish You Were Here' MV Release,https://www.youtube.com/watch?v=jXRDh3IHmq8
2022-08-15,luminous,luminous,1st Full Album [LUMINOUS in WONDERLAND] 'Creature' PREVIEW 영상 공개,1st Full Album [LUMINOUS in WONDERLAND] 'Creature' PREVIEW Video Release,https://www.youtube.com/watch?v=81ZbaHjo2D0
2022-08-16,luminous,luminous,Engine' MV Teaser 공개,Engine' MV Teaser Release,https://www.youtube.com/watch?v=hBJboRJx7Ug
2022-08-17,luminous,luminous,Engine' MV 공개,Engine' MV Release,https://www.youtube.com/watch?v=aS5PSYIs-Gs
2022-10-19,luminous,luminous,Engine' 안무 영상 공개 (사복 버전),Engine' Choreography Video (Casual Version) Release,https://www.youtube.com/watch?v=fbRExxI039c
2022-11-11,luminous,luminous,Creature' 스페셜 안무 연습 영상 공개 (파자마 버전), 'Creature'  Special Dance Practice Video (Pajama Ver.) Release,https://www.youtube.com/watch?v=mzHjpP3lm_E&t=8s
2023-01-27,luminous,luminous,Want it more?' 안무 영상 공개,Want it more?' Dance Practice,https://www.youtube.com/watch?v=EvekPulhElY
2023-04-18,concert,luminous,"EUROPE TOUR 2023 개최 (루마니아 부쿠레슈티, Sala Luceafărul)","EUROPE TOUR 2023 - Sala Luceafărul, Bucharest / Romania",
2023-04-20,concert,luminous,"EUROPE TOUR 2023 개최 (이탈리아 밀라노, DI4 – Distretto Industriale 4)","EUROPE TOUR 2023 - Milano, Italy / DI4 – Distretto Industriale 4",
2023-04-22,concert,luminous,"EUROPE TOUR 2023 개최 (스위스 제네바, Alhambra)","EUROPE TOUR 2023 - Geneve, Switzerland / Alhambra",
2023-04-23,concert,luminous,"EUROPE TOUR 2023 개최 (프랑스 툴롱, Mangazur)","EUROPE TOUR 2023 - Toulon, France / Mangazur",
2023-04-25,concert,luminous,"EUROPE TOUR 2023 개최 (헝가리 부다페스트, Barba Negra)","EUROPE TOUR 2023 - Barba Negra, Budapest / Hungary",
2023-04-26,concert,luminous,"EUROPE TOUR 2023 개최 (폴란드 바르샤바, Hybrydy Klub)","EUROPE TOUR 2023 - Hybrydy Klub, Warsaw / Poland",
2023-04-27,concert,luminous,"EUROPE TOUR 2023 개최 (체코 프라하, Palac Akropolis)","EUROPE TOUR 2023 - Palac Akropolis, Prague / Czech Republic",
2023-10-13,concert,luminous,Second Europe Tour 2023 개최 (스페인 마드리드),Second Europe Tour 2023 - Spain/Madrid ,
2023-10-14,concert,luminous,Second Europe Tour 2023 개최 (포르투갈 리스본),Second Europe Tour 2023 - Portugal/Lisbon,
2023-10-15,concert,luminous,Second Europe Tour 2023 개최 (영국 런던),Second Europe Tour 2023 - United Kingdom/London,
2023-10-17,concert,luminous,Second Europe Tour 2023 개최 (그리스 아테네),Second Europe Tour 2023 - Greece/Athens,
2023-10-19,concert,luminous,Second Europe Tour 2023 개최 (헝가리 부다페스트),Second Europe Tour 2023 - Hungary/Budapest,
2023-10-22,concert,luminous,Second Europe Tour 2023 개최 (체코 프라하),Second Europe Tour 2023 - Czech/Prague,
2023-10-23,concert,luminous,Second Europe Tour 2023 개최 (폴란드 바르샤바),Second Europe Tour 2023 - Poland/Warszawa,
2023-10-25,concert,luminous,Second Europe Tour 2023 개최 (독일 프랑크푸르트),Second Europe Tour 2023 - Germany/Frankfurt,
2023-10-29,concert,luminous,Second Europe Tour 2023 개최 (프랑스 파리),Second Europe Tour 2023 - France/Paris,
2022-01-19,showcase,luminous,2ND MINI ALBUM [빛과 어둠 사이 (Self n Ego)] 발매 기념 쇼케이스 개최,2nd Mini Album [Between Light and Darkness (Self n Ego)] Release Showcase,
2022-01-11,luminous,luminous,2ND MINI ALBUM [빛과 어둠 사이 (Self n Ego)] 발매 기념 쇼케이스 안내,2nd Mini Album [Between Light and Darkness (Self n Ego)] Release Showcase Announcement,https://x.com/LMN_STAFF/status/1480819410311221249?s=20
2022-08-09,luminous,luminous,1ST FULL ALBUM [LUMINOUS in WONDERLAND] 발매 기념 팬쇼케이스 안내,1st Full Album [LUMINOUS in WONDERLAND] Release Showcase Announcement,https://x.com/LMN_STAFF/status/1556902049488351232?s=20
2022-08-17,showcase,luminous,1ST FULL ALBUM [LUMINOUS in WONDERLAND] 발매 기념 팬쇼케이스 개최,1st Full Album [LUMINOUS in WONDERLAND] Release Showcase,
